Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,66.669998,66.669998,66.099998,66.251999,65.080528,58300
2021-11-02,66.379997,66.595001,66.379997,66.504997,65.329048,19200
2021-11-03,66.472000,67.029999,66.472000,67.014999,65.830032,8800
2021-11-04,67.099998,67.349998,67.099998,67.220001,66.031410,33200
2021-11-05,67.739998,67.830002,67.449997,67.580002,66.385040,8100
2021-11-08,67.769997,67.889999,67.598999,67.728996,66.531403,48600
2021-11-09,67.720001,67.900002,67.400002,67.649002,66.452820,27600
2021-11-10,67.439003,67.629997,66.936996,67.086998,65.900757,10600
2021-11-11,67.309998,67.339996,67.040001,67.045998,65.860474,9700
2021-11-12,67.419998,67.639999,67.157997,67.639999,66.443970,8100
2021-11-15,67.739998,67.779999,67.567001,67.567001,66.372276,3300
2021-11-16,67.790001,68.072998,67.669998,67.869003,66.668930,19400
2021-11-17,68.070000,68.070000,67.580002,67.598000,66.402725,10000
2021-11-18,67.699997,67.870003,67.360001,67.785004,66.586426,15000
2021-11-19,67.771004,67.870003,67.588997,67.588997,66.393875,8000
2021-11-22,68.099998,68.199997,67.389999,67.389999,66.198402,8200
2021-11-23,67.489998,67.500999,67.050003,67.500999,66.307442,4700
2021-11-24,67.500000,67.720001,67.167999,67.720001,66.522560,10400
2021-11-26,66.540001,66.843002,66.070000,66.193001,65.022568,8500
2021-11-29,66.930000,67.139999,66.680000,66.981003,65.796631,6700
2021-11-30,66.750000,66.750000,65.617996,65.617996,64.457733,17900
2021-12-01,66.300003,66.870003,64.989998,65.000999,63.851643,10500
2021-12-02,65.089996,66.080002,64.860001,65.889999,64.724915,14400
2021-12-03,66.320000,66.320000,64.819000,65.272003,64.117851,14500
2021-12-06,65.690002,66.430000,65.410004,66.190002,65.019623,6900
2021-12-07,67.147003,67.540001,67.078003,67.413002,66.220993,6100
2021-12-08,67.769997,67.769997,67.339996,67.699997,66.502914,10200
2021-12-09,67.400002,67.610001,67.290001,67.317001,66.126686,8800
2021-12-10,67.730003,67.823997,67.320000,67.823997,66.624718,7700
2021-12-13,67.669998,67.769997,67.278999,67.278999,66.089355,7800
2021-12-14,66.669998,67.129997,66.459999,66.767998,65.587395,9900
2021-12-15,66.629997,67.910004,66.509003,67.910004,66.709213,5700
2021-12-16,68.260002,68.260002,67.309998,67.370003,66.178757,5800
2021-12-17,66.938004,67.148003,66.489998,66.489998,65.314308,14000
2021-12-20,65.800003,65.869003,65.362000,65.863998,64.699387,6400
2021-12-21,66.529999,66.980003,66.150002,66.980003,65.795654,13900
2021-12-22,67.160004,67.612000,67.160004,67.612000,66.416466,16600
2021-12-23,67.879997,68.150002,67.879997,68.032997,66.830025,12100
2021-12-27,68.080002,68.558998,68.059998,68.558998,67.555252,15500
2021-12-28,68.699997,68.699997,68.492996,68.492996,67.490219,10900
2021-12-29,68.489998,68.779999,68.489998,68.658997,67.653786,11800
2021-12-30,68.699997,68.853996,68.440002,68.440002,67.438004,7900
2021-12-31,68.400002,68.510002,68.294998,68.294998,67.295120,4200
2022-01-03,68.440002,68.580002,68.190002,68.523003,67.519783,8300
2022-01-04,68.629997,68.921997,68.333000,68.620003,67.615364,21800
2022-01-05,68.489998,68.489998,67.190002,67.195000,66.211227,13400
2022-01-06,67.169998,67.445000,67.089996,67.162003,66.178711,3900
2022-01-07,67.449997,67.449997,66.870003,67.010002,66.028931,9300
2022-01-10,66.239998,66.779999,65.650002,66.779999,65.802299,20600
2022-01-11,67.050003,67.489998,66.464996,67.470001,66.482201,8000
2022-01-12,67.916000,67.940002,67.470001,67.587997,66.598465,12800
2022-01-13,67.680000,67.839996,66.601997,66.601997,65.626907,7500
2022-01-14,66.330002,66.622002,66.000000,66.622002,65.646622,5100
2022-01-18,66.120003,66.120003,65.339996,65.375999,64.418854,6900
2022-01-19,65.699997,65.709999,64.823997,64.823997,63.874935,5600
2022-01-20,65.250000,65.739998,64.035004,64.035004,63.097492,7700
2022-01-21,64.010002,64.220001,62.860001,62.896000,61.975163,43100
2022-01-24,62.169998,63.049999,60.349998,62.999001,62.076656,71200
2022-01-25,62.340000,62.898998,61.325001,62.254002,61.342564,8700
2022-01-26,63.540001,63.540001,61.970001,62.134998,61.225307,23300
2022-01-27,63.169998,63.419998,61.810001,61.959000,61.051880,11700
2022-01-28,62.349998,63.540001,61.840000,63.540001,62.609737,6800
2022-01-31,63.310001,64.614998,63.310001,64.614998,63.668995,4800
2022-02-01,64.660004,65.220001,64.360001,65.160004,64.206017,93100
2022-02-02,65.709999,65.709999,65.260002,65.693001,64.731216,6900
2022-02-03,64.855003,65.089996,64.348999,64.348999,63.406887,5800
2022-02-04,64.290001,65.339996,64.089996,64.849998,63.900558,10900
2022-02-07,65.080002,65.080002,64.500000,64.500000,63.555679,5500
2022-02-08,64.730003,65.254997,64.500000,65.254997,64.299629,2600
2022-02-09,65.660004,66.059998,65.660004,66.041000,65.074120,5600
2022-02-10,65.330002,65.930000,64.589996,64.931000,63.980370,7800
2022-02-11,64.629997,64.800003,63.689999,63.794998,62.861000,7000
2022-02-14,63.570000,63.759998,63.000000,63.410000,62.481640,8100
2022-02-15,64.319000,64.459999,64.089996,64.389999,63.447292,12500
2022-02-16,64.180000,64.459999,63.965000,64.440002,63.496563,9000
2022-02-17,64.019997,64.019997,63.116001,63.116001,62.191948,6100
2022-02-18,63.459999,63.459999,62.340000,62.610001,61.693356,14700
2022-02-22,62.279999,62.750000,61.708000,61.958000,61.050896,9300
2022-02-23,62.349998,62.700001,60.924999,60.924999,60.033016,9200
2022-02-24,59.400002,61.745998,59.400002,61.745998,60.842003,8100
2022-02-25,62.090000,63.180000,61.855000,63.180000,62.255005,7500
2022-02-28,62.369999,63.200001,62.330002,62.966999,62.045128,9500
2022-03-01,62.810001,62.810001,61.803001,62.004002,61.096230,9900
2022-03-02,62.453999,63.348000,62.347000,63.199001,62.273727,9300
2022-03-03,63.630001,63.630001,62.687000,62.889999,61.969250,9500
2022-03-04,62.619999,62.619999,61.715000,62.257000,61.345516,21100
2022-03-07,62.070000,62.070000,60.471001,60.471001,59.585670,9300
2022-03-08,60.689999,61.430000,59.880001,60.001999,59.123531,10000
2022-03-09,61.209999,61.770000,61.209999,61.490002,60.589752,9000
2022-03-10,61.580002,61.580002,60.619999,61.381001,60.482346,16900
2022-03-11,61.910000,61.910000,60.612999,60.615002,59.727562,4100
2022-03-14,60.950001,60.980000,59.955002,60.111000,59.230938,3300
2022-03-15,60.340000,61.419998,60.340000,61.411999,60.512894,25100
2022-03-16,61.900002,62.630001,61.400002,62.616001,61.699268,24400
2022-03-17,62.810001,63.439999,62.520000,63.439999,62.511196,14400
2022-03-18,63.180000,64.213997,63.180000,64.213997,63.273869,5300
2022-03-21,64.440002,64.570000,63.750000,64.089996,63.151680,8000
2022-03-22,64.415001,64.879997,64.415001,64.767998,63.819756,4100
2022-03-23,64.559998,64.580002,64.010002,64.010002,63.072857,15000
2022-03-24,64.277000,64.805000,64.277000,64.805000,63.856220,1700
2022-03-25,64.989998,64.989998,64.419998,64.898003,64.140862,6600
2022-03-28,65.000000,65.410004,64.598999,65.410004,64.646889,7800
2022-03-29,66.070000,66.248001,65.709999,66.170998,65.399002,8900
2022-03-30,66.269997,66.269997,65.519997,65.739998,64.973030,5300
2022-03-31,65.547997,65.690002,64.865997,64.865997,64.109230,3300
2022-04-01,64.839996,64.942001,64.559998,64.942001,64.184341,4200
2022-04-04,65.129997,65.510002,65.086998,65.430000,64.666649,4000
2022-04-05,65.230003,65.230003,64.623001,64.623001,63.869064,5400
2022-04-06,64.300003,64.389999,63.639999,64.070000,63.322514,5300
2022-04-07,63.950001,64.498001,63.700001,64.273003,63.523155,2900
2022-04-08,64.082001,64.542000,64.057999,64.057999,63.310654,6000
2022-04-11,63.990002,63.990002,63.022999,63.022999,62.287731,108600
2022-04-12,63.535000,63.535000,62.669998,62.820999,62.088085,12600
2022-04-13,63.060001,63.605000,62.771000,63.557999,62.816490,2900
2022-04-14,63.567001,63.567001,62.823002,62.823002,62.090065,1700
2022-04-18,62.650002,63.029999,62.505001,62.770000,62.037685,21800
2022-04-19,62.950001,63.869999,62.950001,63.766998,63.023048,1300
2022-04-20,64.239998,64.250000,63.730000,63.900002,63.154503,10700
2022-04-21,64.483002,64.483002,62.831001,62.846001,62.112797,9600
2022-04-22,62.750000,62.750000,61.119999,61.120998,60.407917,14200
2022-04-25,60.799999,61.470001,60.259998,61.450001,60.733082,38100
2022-04-26,60.967999,60.980000,59.840000,59.861000,59.162621,8800
2022-04-27,60.340000,60.648998,59.951000,59.951000,59.251572,4500
2022-04-28,60.377998,61.759998,60.139999,61.470001,60.752850,11200
2022-04-29,60.709999,60.709999,59.005001,59.080002,58.390732,9400
2022-05-02,59.009998,59.035000,58.240002,58.919998,58.232597,20300
2022-05-03,59.439999,59.970001,59.400002,59.648998,58.953091,12800
2022-05-04,59.790001,61.320000,59.209999,61.318001,60.602623,6900
2022-05-05,60.400002,60.400002,58.740002,59.180000,58.489567,12900
2022-05-06,58.860001,59.150002,57.983002,58.770000,58.084347,29800
2022-05-09,57.840000,57.939999,56.770000,56.970001,56.305351,8100
2022-05-10,57.974998,57.974998,56.799000,57.033001,56.367615,3800
2022-05-11,57.279999,57.340000,56.098000,56.098000,55.443523,3000
2022-05-12,55.590000,57.310001,55.160000,55.861000,55.209290,16700
2022-05-13,57.323002,57.473999,56.939999,57.349998,56.680916,1900
2022-05-16,57.220001,57.695000,57.046001,57.180000,56.512897,18700
2022-05-17,58.110001,58.365002,57.764999,58.291000,57.610939,6200
2022-05-18,57.214001,57.214001,55.950001,55.959000,55.306145,3800
2022-05-19,55.900002,56.189999,55.376999,55.759998,55.109463,30600
2022-05-20,56.230000,56.299999,54.549999,55.756001,55.105515,9900
2022-05-23,56.270000,56.895000,55.910000,56.784000,56.121521,10900
2022-05-24,56.250000,56.570000,55.580002,56.349998,55.692585,7300
2022-05-25,56.480000,56.945000,56.456001,56.945000,56.280643,4100
2022-05-26,57.610001,58.212002,57.610001,58.058998,57.381641,2600
2022-05-27,58.439999,59.389999,58.439999,59.388000,58.695137,84400
2022-05-31,58.994999,59.453999,58.787998,59.029999,58.341316,13100
2022-06-01,59.360001,59.493000,58.455002,58.720001,58.034935,5400
2022-06-02,58.910000,59.762001,58.369999,59.762001,59.064774,2700
2022-06-03,59.367001,59.367001,58.820999,58.910000,58.222713,26200
2022-06-06,59.869999,59.869999,58.964001,59.009998,58.321548,18200
2022-06-07,58.849998,59.639999,58.680000,59.636002,58.940250,5000
2022-06-08,59.347000,59.639999,58.888000,58.984001,58.295853,8600
2022-06-09,58.700001,58.855000,57.643002,57.643002,56.970501,9800
2022-06-10,56.970001,56.970001,55.860001,55.910000,55.257713,10800
2022-06-13,54.543999,54.654999,53.490002,53.653000,53.027046,15000
2022-06-14,53.963001,54.060001,53.145000,53.494999,52.870892,8000
2022-06-15,53.840000,54.889999,53.740002,54.287998,53.654636,16600
2022-06-16,53.150002,53.150002,52.404999,52.514999,51.902328,3500
2022-06-17,52.660000,53.000000,52.299999,52.797001,52.181034,12700
2022-06-21,53.709999,54.119999,53.709999,53.993999,53.364067,10600
2022-06-22,53.560001,54.457001,53.560001,54.040001,53.409531,54900
2022-06-23,54.130001,54.466999,53.830002,54.466999,53.831551,5400
2022-06-24,54.919998,55.851002,54.919998,55.851002,55.411011,11400
2022-06-27,56.110001,56.110001,55.660999,55.660999,55.222504,5600
2022-06-28,56.096001,56.437000,54.630001,54.630001,54.199627,11700
2022-06-29,54.770000,54.860001,54.349998,54.603001,54.172840,5900
2022-06-30,54.259998,54.470001,53.580002,53.965000,53.539864,5900
2022-07-01,53.790001,54.700001,53.790001,54.632999,54.202602,13800
2022-07-05,53.865002,54.751999,53.540001,54.751999,54.320667,14800
2022-07-06,54.858002,55.279999,54.590000,54.949001,54.516117,25900
2022-07-07,55.619999,55.889999,55.590000,55.792000,55.352474,5600
2022-07-08,55.657001,55.900002,55.529999,55.768002,55.328663,1700
2022-07-11,55.570000,55.570000,55.076000,55.076000,54.642113,28200
2022-07-12,55.216000,55.280998,54.520000,54.618000,54.187721,6700
2022-07-13,53.619999,54.605000,53.619999,54.414001,53.985332,5400
2022-07-14,53.680000,54.200001,53.360001,54.200001,53.773018,7400
2022-07-15,54.939999,55.259998,54.849998,55.202000,54.767120,8300
2022-07-18,55.869999,55.869999,54.619999,54.740002,54.308762,6400
2022-07-19,55.365002,56.271999,55.320000,56.271999,55.828690,6000
2022-07-20,56.250000,56.830002,56.150002,56.673000,56.226532,5900
2022-07-21,56.474998,57.105999,56.474998,57.105999,56.656124,9600
2022-07-22,57.259998,57.259998,56.375000,56.525002,56.079700,2900
2022-07-25,56.680000,56.779999,56.330002,56.637001,56.190815,46500
2022-07-26,56.290001,56.360001,55.860001,55.956001,55.515182,8400
2022-07-27,56.459999,57.431000,56.459999,57.431000,56.978561,9300
2022-07-28,57.630001,58.230000,57.175999,58.087002,57.629395,9700
2022-07-29,58.459999,59.046001,58.360001,59.046001,58.580841,10200
2022-08-01,59.090000,59.099998,58.744999,58.853001,58.389359,4500
2022-08-02,58.724998,59.147999,58.487999,58.487999,58.027233,6000
2022-08-03,58.889999,59.582001,58.889999,59.499001,59.030270,2500
2022-08-04,59.689999,59.689999,59.240002,59.349998,58.882442,6600
2022-08-05,58.919998,59.397999,58.919998,59.397999,58.930061,7700
2022-08-08,59.820000,59.900002,59.310001,59.342999,58.875500,4500
2022-08-09,59.029999,59.259998,58.970001,59.058998,58.593735,6100
2022-08-10,60.119999,60.338001,60.040001,60.338001,59.862659,4500
2022-08-11,61.007999,61.007999,60.259998,60.324001,59.848770,7200
2022-08-12,60.490002,61.331001,60.490002,61.331001,60.847839,1500
2022-08-15,61.160000,61.770000,61.160000,61.601002,61.115711,70800
2022-08-16,61.480000,62.008999,61.459999,61.763000,61.276436,2700
2022-08-17,61.299999,61.470001,61.299999,61.316002,60.832954,1300
2022-08-18,61.278999,61.529999,61.248001,61.431000,60.947048,31600
2022-08-19,60.797001,60.930000,60.590000,60.680000,60.201965,16000
2022-08-22,59.889999,59.900002,59.330002,59.363998,58.896332,11600
2022-08-23,59.395000,59.395000,59.175999,59.243000,58.776287,2000
2022-08-24,59.400002,59.619999,59.259998,59.448002,58.979675,23600
2022-08-25,59.810001,60.196999,59.660000,60.196999,59.722767,3000
2022-08-26,59.349998,59.349998,58.264000,58.264000,57.804996,2900
2022-08-29,57.750000,58.139999,57.650002,57.889999,57.433945,4900
2022-08-30,57.959999,58.060001,57.000000,57.180000,56.729538,10000
2022-08-31,57.349998,57.349998,56.775002,56.838001,56.390236,6900
2022-09-01,56.189999,56.803001,56.000000,56.803001,56.355511,14200
2022-09-02,57.237999,57.556999,56.032001,56.252998,55.809841,45500
2022-09-06,56.455002,56.455002,55.730000,55.963001,55.522125,7200
2022-09-07,56.230000,57.042999,56.230000,57.042999,56.593620,900
2022-09-08,56.529999,57.528999,56.529999,57.412998,56.960701,2100
2022-09-09,57.740002,58.424000,57.740002,58.374001,57.914135,3100
2022-09-12,58.520000,58.938000,58.520000,58.938000,58.473686,1400
2022-09-13,57.279999,57.279999,56.259998,56.410000,55.965603,8100
2022-09-14,56.641998,56.650002,56.180000,56.650002,56.203716,1900
2022-09-15,56.000000,56.464001,55.790001,55.987000,55.545937,1900
2022-09-16,55.080002,55.509998,55.000000,55.450001,55.013168,10600
2022-09-19,55.240002,55.845001,55.240002,55.845001,55.405060,5800
